"id","category","name","price","salePrice","sale","url"
"290","Smartphones","Smartfon Kruger&Matz MOVE 9 DualSIM 2/16 GB","319,00 zł z kurierem","389,00 zł","-17%","https://allegro.pl/oferta/smartfon-kruger-matz-move-9-dualsim-2-16-gb-8769668101"
"291","Smartphones","Smartfon Xiaomi POCO M3 4/64GB Niebieski","599,99 zł","699,00 zł","-14%","https://allegro.pl/oferta/smartfon-xiaomi-poco-m3-4-64gb-niebieski-10131698946"
"292","Smartphones","IDEALNY Apple Iphone XR 64gb - ORYGINALNY zestaw","1 599,00 zł","2499,00 zł","-36%","https://allegro.pl/oferta/idealny-apple-iphone-xr-64gb-oryginalny-zestaw-9974526523"
"293","Smartphones","Oryginalny Samsung Xcover 3 G389F Value Edition","299,00 zł","499,00 zł","-40%","https://allegro.pl/oferta/oryginalny-samsung-xcover-3-g389f-value-edition-9960496047"
"294","Smartphones","Samsung Xcover 4 G390F 16gb + 2gb Grade A- SZKŁO!!","380,00 zł z kurierem","499,00 zł","-23%","https://allegro.pl/oferta/samsung-xcover-4-g390f-16gb-2gb-grade-a-szklo-10220630699"
"295","Smartphones","SMARTFON SAMSUNG SM-M515 GALAXY M51 BLACK 6/128GB","1 299,00 zł","1999,00 zł","-35%","https://allegro.pl/events/clicks?emission_unit_id=423b11ae-199b-4d02-919e-be9f1a3d7315&emission_id=31a45e5d-4a53-4639-8e9e-b6431e2f81e6&type=OFFER&ts=1616081350611&redirect=https%3A%2F%2Fallegro.pl%2Foferta%2Fsmartfon-samsung-sm-m515-galaxy-m51-black-6-128gb-9838356380%3Fbi_s%3Dads%26bi_m%3Dlisting%253Adesktop%253Acategory%26bi_c%3DYzUwMjRiNDctOGIzYS00MTFlLThmMjQtMzMzNTgyNmU3OGYzAA%26bi_t%3Dape&placement=listing:desktop:category&sig=03edad2688e9f1a9f167d4b9779dcce7"
"296","Smartphones","Smartfon Kruger&Matz FLOW 7 3/32 GB DualSIM","399,00 zł z kurierem","549,00 zł","-27%","https://allegro.pl/oferta/smartfon-kruger-matz-flow-7-3-32-gb-dualsim-10064297948"
"297","Smartphones","Telefon Samsung Xcover 4 Roboczy Odporny Gratis","479,00 zł","549,00 zł","-12%","https://allegro.pl/oferta/telefon-samsung-xcover-4-roboczy-odporny-gratis-9633570720"
"298","Smartphones","SMARTFON APPLE IPHONE 7 32GB CZARNY + SZKŁO | BOX","699,00 zł z kurierem","899,00 zł","-22%","https://allegro.pl/oferta/smartfon-apple-iphone-7-32gb-czarny-szklo-box-10175717805"
"299","Smartphones","Smartfon Xiaomi POCO M3 4 / 64GB czarny","649,00 zł","749,00 zł","-13%","https://allegro.pl/oferta/smartfon-xiaomi-poco-m3-4-64gb-czarny-10203724357"
"300","Smartphones","Telefon seniora Kruger&Matz Simple 930 SOS","169,00 zł z kurierem","249,00 zł","-32%","https://allegro.pl/oferta/telefon-seniora-kruger-matz-simple-930-sos-10033897408"
